,Name,Tweet Order,Text,Compound,Positive,Negative,Neutral,Time,Adj Time
83,@BBC,17,"When mother Marie mysteriously leaves the family home, the repercussions are enormous.

#ComeHome | 9pm | @BBCOne |… https://t.co/S4JgnzQlAx",0.0,0.0,0.0,1.0,Tue Mar 27 18:30:07 +0000 2018,2018-03-27 18:30:07+00:00
84,@BBC,16,"??? Even if you don't speak German, this is worth watching until the end! 
#LiveAtTheApollo https://t.co/J3l8oToRbk",0.2942,0.128,0.0,0.872,Tue Mar 27 18:00:08 +0000 2018,2018-03-27 18:00:08+00:00
85,@BBC,15,"? We've got oodles of noodles with recipes for pad Thai, chow mein, ramen, pho and stir-fries.
?… https://t.co/JWfrcIhn2X",0.0,0.0,0.0,1.0,Tue Mar 27 17:00:07 +0000 2018,2018-03-27 17:00:07+00:00
86,@BBC,14,? What does Facebook know about you? https://t.co/lG4ffeCG09,0.0,0.0,0.0,1.0,Tue Mar 27 16:00:15 +0000 2018,2018-03-27 16:00:15+00:00
87,@BBC,13,RT @BBCTwo: Happy #WorldTheatreDay! *leaves this here and runs away* @SaraPascoe ?? https://t.co/3XlEb5gr15,0.6114,0.25,0.0,0.75,Tue Mar 27 15:40:40 +0000 2018,2018-03-27 15:40:40+00:00
88,@BBC,12,"RT @BBCScotland: Meet the master of the radiator harp

@DaftLimmy returns to BBC Scotland on Thursday 5 April. https://t.co/G7mjFEJx6k",0.0,0.0,0.0,1.0,Tue Mar 27 15:38:26 +0000 2018,2018-03-27 15:38:26+00:00
89,@BBC,11,RT @bbcthree: 12-year-old Keilan has very severe curvature of the spine. He needs surgery ASAP but the 5 hour operation could leave him par…,-0.3064,0.0,0.134,0.866,Tue Mar 27 15:36:22 +0000 2018,2018-03-27 15:36:22+00:00
90,@BBC,10,"RT @bbccomedy: Cathy, master of shade. #Mum https://t.co/VjC2ttkaNF",0.0,0.0,0.0,1.0,Tue Mar 27 15:33:24 +0000 2018,2018-03-27 15:33:24+00:00
91,@BBC,9,"RT @BBCR1: (•_•)
&lt;)   )?who
 /    \ 

  (•_•)
 \(   (&gt; bit
  /    \

 (•_•)
&lt;)   )?Beyoncé? 
 /    \ 

https://t.co/7hQd9mcKUY",0.0,0.0,0.0,1.0,Tue Mar 27 15:26:23 +0000 2018,2018-03-27 15:26:23+00:00
92,@BBC,8,"RT @BBCWorld: It's 50 years since the death of Yuri Gagarin, the Russian cosmonaut who was the first man to travel into space ??? https://t…",-0.5994,0.0,0.14,0.86,Tue Mar 27 14:30:37 +0000 2018,2018-03-27 14:30:37+00:00
93,@BBC,7,?? The first polar bear cub to be born in the UK for 25 years has been filmed adapting to its surroundings. https://t.co/EsxbH18cN5,0.0,0.0,0.0,1.0,Tue Mar 27 13:33:01 +0000 2018,2018-03-27 13:33:01+00:00
94,@BBC,6,The ancient Greeks thought a life of ‘constant leisure’ was the highest life you could live. https://t.co/sascCq8iks,0.0,0.0,0.0,1.0,Tue Mar 27 12:00:08 +0000 2018,2018-03-27 12:00:08+00:00
